Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dangky,Edge Chromium 124,,,05-05-2024 10:45:09,05-05-2024 10:53:42,8m - 33.748s,FAILED
,,,,,,,
Test Cases/Dangky/Dang Ky_TC1,Edge Chromium 124,nhập thiếu email,,05-05-2024 10:45:09,05-05-2024 10:45:53,44.680s,FAILED
"openBrowser(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 10:45:09,05-05-2024 10:45:19,10.007s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/i_Lin h nhanh_pe-7s-users""))",Edge Chromium 124,,,05-05-2024 10:45:19,05-05-2024 10:45:20,0.226s,PASSED
"clickOffset(findTestObject(""Dangky/Page_Trang ch/a_ng k ti khon""), 0, 0)",Edge Chromium 124,,,05-05-2024 10:45:20,05-05-2024 10:45:20,0.983s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_H v Tn_FullName""), ""Morri"")",Edge Chromium 124,,,05-05-2024 10:45:20,05-05-2024 10:45:21,0.223s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_a ch Email_Email""), """")",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:21,0.142s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_S in thoi_Phone""), ""0935626852"")",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:21,0.177s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Mt khu_Password""), ""123456"")",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:21,0.170s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Nhp li mt khu_ConfirmPassword""), ""123456"")",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:21,0.175s,PASSED
"scrollToPosition(0, 750)",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:21,0.028s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/Page_ng k ti khon/button_ng k""))",Edge Chromium 124,,,05-05-2024 10:45:21,05-05-2024 10:45:22,0.735s,PASSED
"verifyElementText(findTestObject(""Dangky/Page_Dashboard/a_Thng tin ti khon""), ""THÔNG TIN TÀI KHOẢN"")",Edge Chromium 124,,,05-05-2024 10:45:22,05-05-2024 10:45:53,31.334s,FAILED
,,,,,,,
Test Cases/Dangky/Dang Ky_TC10,Edge Chromium 124,nhập email thiếu @,,05-05-2024 10:45:53,05-05-2024 10:46:36,42.372s,FAILED
"openBrowser(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 10:45:54,05-05-2024 10:46:02,8.660s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 10:46:02,05-05-2024 10:46:02,0.153s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/i_Lin h nhanh_pe-7s-users""))",Edge Chromium 124,,,05-05-2024 10:46:02,05-05-2024 10:46:03,0.254s,PASSED
"clickOffset(findTestObject(""Dangky/Page_Trang ch/a_ng k ti khon""), 0, 0)",Edge Chromium 124,,,05-05-2024 10:46:03,05-05-2024 10:46:04,0.877s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_H v Tn_FullName""), ""Morri"")",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.147s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_a ch Email_Email""), ""morritestgmail.com"")",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.140s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_S in thoi_Phone""), ""0935626852"")",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.133s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Mt khu_Password""), ""123456"")",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.122s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Nhp li mt khu_ConfirmPassword""), ""123456"")",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.155s,PASSED
"scrollToPosition(0, 750)",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.010s,PASSED
"waitForElementClickable(findTestObject(""Dangky/Page_Trang ch/Page_ng k ti khon/button_ng k""), 0)",Edge Chromium 124,,,05-05-2024 10:46:04,05-05-2024 10:46:04,0.207s,PASSED
