Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Edge Chromium 124,,,05-05-2024 11:03:20,05-05-2024 11:04:31,1m - 10.926s,FAILED
,,,,,,,
Test Cases/Login/LG,Edge Chromium 124,"Trường hợp đăng nhập thành công, sai tài khoản, sai mật khẩu",,05-05-2024 11:03:20,05-05-2024 11:03:35,14.608s,PASSED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:03:21,05-05-2024 11:03:25,4.680s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:03:25,05-05-2024 11:03:32,6.419s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:03:32,05-05-2024 11:03:32,0.144s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:32,05-05-2024 11:03:32,0.466s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:32,05-05-2024 11:03:33,0.814s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), email)",Edge Chromium 124,,,05-05-2024 11:03:33,05-05-2024 11:03:33,0.247s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), password)",Edge Chromium 124,,,05-05-2024 11:03:33,05-05-2024 11:03:34,0.152s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:34,05-05-2024 11:03:35,0.935s,PASSED
"verifyElementText(findTestObject(""Login/Page_Dashboard/div_thongbaodangnhap""), message)",Edge Chromium 124,,,05-05-2024 11:03:35,05-05-2024 11:03:35,0.098s,PASSED
closeBrowser(),Edge Chromium 124,,,05-05-2024 11:03:35,05-05-2024 11:03:35,0.331s,PASSED
,,,,,,,
Test Cases/Login/LG,Edge Chromium 124,"Trường hợp đăng nhập thành công, sai tài khoản, sai mật khẩu",,05-05-2024 11:03:35,05-05-2024 11:03:46,10.583s,PASSED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:03:35,05-05-2024 11:03:38,2.447s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:03:38,05-05-2024 11:03:43,5.612s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:03:43,05-05-2024 11:03:43,0.115s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:43,05-05-2024 11:03:43,0.199s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:43,05-05-2024 11:03:44,0.765s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), email)",Edge Chromium 124,,,05-05-2024 11:03:44,05-05-2024 11:03:44,0.184s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), password)",Edge Chromium 124,,,05-05-2024 11:03:44,05-05-2024 11:03:45,0.138s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:45,05-05-2024 11:03:45,0.704s,PASSED
"verifyElementText(findTestObject(""Login/Page_Dashboard/div_thongbaodangnhap""), message)",Edge Chromium 124,,,05-05-2024 11:03:45,05-05-2024 11:03:45,0.072s,PASSED
closeBrowser(),Edge Chromium 124,,,05-05-2024 11:03:45,05-05-2024 11:03:46,0.316s,PASSED
,,,,,,,
Test Cases/Login/LG,Edge Chromium 124,"Trường hợp đăng nhập thành công, sai tài khoản, sai mật khẩu",,05-05-2024 11:03:46,05-05-2024 11:03:58,12.671s,FAILED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:03:46,05-05-2024 11:03:48,2.461s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:03:48,05-05-2024 11:03:56,7.401s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:03:56,05-05-2024 11:03:56,0.112s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:56,05-05-2024 11:03:56,0.157s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:56,05-05-2024 11:03:57,0.785s,PASSED
